id,team_name,round,match_date,year,home_away,opponent,team_quarter_scores,team_score,opponent_quarter_scores,opponent_score,result,margin,venue,crowd,team_goals_kicked,team_behinds,opponent_goals_kicked,opponent_behinds,team_win_flag,team_margin,win_rate_last_3,avg_score_for_last_3,avg_score_against_last_3,win_rate_last_5,avg_score_for_last_5,avg_score_against_last_5,win_rate_last_10,avg_score_for_last_10,avg_score_against_last_10,win_streak_before_match,days_rest,pair_key,pair_first_team,pair_win,pair_margin,h2h_win_rate_before,h2h_avg_margin_before,match_points,prior_points,prior_score_for,prior_score_against,prior_percentage,ladder_position_before,feature_version
13973,Richmond Tigers,2,1983-04-02,1983,H,Melbourne Demons,3.2 5.6 10.9 15.10,100,2.1 10.5 12.8 18.11,119,L,-19,Melbourne Cricket Ground,41889.0,15,10,18,11,0.0,-19,0.0,76.0,136.0,0.0,76.0,136.0,0.0,76.0,136.0,0,7.0,Melbourne Demons|Richmond Tigers,Melbourne Demons,0.0,19,1.0,19.0,0,0,76,136,55.88235294117647,4.0,v1.0
15421,W. Bulldogs,2,1983-04-02,1983,H,Carlton Blues,3.2 9.9 12.12 14.15,99,6.4 7.8 11.10 12.10,82,W,17,Western Oval,20414.0,14,15,12,10,1.0,17,0.0,75.0,106.0,0.0,75.0,106.0,0.0,75.0,106.0,0,7.0,Carlton Blues|W. Bulldogs,Carlton Blues,1.0,-17,,,4,0,75,106,70.75471698113208,4.0,v1.0
11505,Essendon Bombers,2,1983-04-04,1983,H,St Kilda Saints,5.5 7.7 12.9 20.11,131,1.2 2.4 6.10 10.10,70,W,61,Windy Hill,28071.0,20,11,10,10,1.0,61,0.0,110.0,111.0,0.0,110.0,111.0,0.0,110.0,111.0,0,8.0,Essendon Bombers|St Kilda Saints,Essendon Bombers,1.0,61,,,4,0,110,111,99.09909909909909,4.0,v1.0
11906,Fitzroy Lions,2,1983-04-04,1983,A,North Melbourne Kangaroos,1.4 5.11 6.11 12.16,88,1.2 1.4 2.5 6.7,43,W,45,"Waverley Park
",23788.0,12,16,6,7,1.0,45,0.0,112.0,131.0,0.0,112.0,131.0,0.0,112.0,131.0,0,9.0,Fitzroy Lions|North Melbourne Kangaroos,Fitzroy Lions,1.0,45,,,4,0,112,131,85.49618320610686,4.0,v1.0
12721,Hawthorn Hawks,2,1983-04-04,1983,H,Sydney Swans,2.6 5.11 8.15 9.16,70,3.3 3.7 5.10 5.15,45,W,25,Princes Park,16295.0,9,16,5,15,1.0,25,1.0,131.0,112.0,1.0,131.0,112.0,1.0,131.0,112.0,1,9.0,Hawthorn Hawks|Sydney Swans,Hawthorn Hawks,1.0,25,,,4,4,131,112,116.96428571428571,1.0,v1.0
13121,North Melbourne Kangaroos,2,1983-04-04,1983,H,fitzroy lions,1.2 1.4 2.5 6.7,43,1.4 5.11 6.11 12.16,88,L,-45,Waverley Park,23788.0,6,7,12,16,0.0,-45,1.0,100.0,87.0,1.0,100.0,87.0,1.0,100.0,87.0,1,9.0,North Melbourne Kangaroos|fitzroy lions,North Melbourne Kangaroos,0.0,-45,,,0,4,100,87,114.94252873563218,1.0,v1.0
14348,St Kilda Saints,2,1983-04-04,1983,A,Essendon Bombers,1.2 2.4 6.10 10.10,70,5.5 7.7 12.9 20.11,131,L,-61,Windy Hill,28071.0,10,10,20,11,0.0,-61,0.0,87.0,100.0,0.0,87.0,100.0,0.0,87.0,100.0,0,9.0,Essendon Bombers|St Kilda Saints,Essendon Bombers,0.0,61,1.0,61.0,0,0,87,100,87.0,4.0,v1.0
14728,Sydney Swans,2,1983-04-04,1983,A,Hawthorn Hawks,3.3 3.7 5.10 5.15,45,2.6 5.11 8.15 9.16,70,L,-25,Princes Park,16295.0,5,15,9,16,0.0,-25,1.0,111.0,110.0,1.0,111.0,110.0,1.0,111.0,110.0,1,8.0,Hawthorn Hawks|Sydney Swans,Hawthorn Hawks,0.0,25,1.0,25.0,0,4,111,110,100.9090909090909,1.0,v1.0
10724,Carlton Blues,3,1983-04-09,1983,H,Collingwood Magpies,3.10 4.12 9.16 13.19,97,1.4 6.7 9.15 11.21,87,W,10,Waverley Park,69596.0,13,19,11,21,1.0,10,0.5,109.0,87.5,0.5,109.0,87.5,0.5,109.0,87.5,0,7.0,Carlton Blues|Collingwood Magpies,Carlton Blues,1.0,10,,,4,4,218,175,124.57142857142857,3.0,v1.0
11122,Collingwood Magpies,3,1983-04-09,1983,A,Carlton Blues,1.4 6.7 9.15 11.21,87,3.10 4.12 9.16 13.19,97,L,-10,Waverley Park,69596.0,11,21,13,19,0.0,-10,0.5,115.5,113.0,0.5,115.5,113.0,0.5,115.5,113.0,0,7.0,Carlton Blues|Collingwood Magpies,Carlton Blues,0.0,10,1.0,10.0,0,4,231,226,102.21238938053098,3.0,v1.0
11506,Essendon Bombers,3,1983-04-09,1983,A,fitzroy lions,2.7 5.7 6.12 7.14,56,1.3 6.9 8.11 14.13,97,L,-41,Junction Oval,21478.0,7,14,14,13,0.0,-41,0.5,120.5,90.5,0.5,120.5,90.5,0.5,120.5,90.5,1,5.0,Essendon Bombers|fitzroy lions,Essendon Bombers,0.0,-41,,,0,4,241,181,133.14917127071823,3.0,v1.0
11907,Fitzroy Lions,3,1983-04-09,1983,H,Essendon Bombers,1.3 6.9 8.11 14.13,97,2.7 5.7 6.12 7.14,56,W,41,Junction Oval,21478.0,14,13,7,14,1.0,41,0.5,100.0,87.0,0.5,100.0,87.0,0.5,100.0,87.0,1,5.0,Essendon Bombers|Fitzroy Lions,Essendon Bombers,1.0,-41,,,4,4,200,174,114.94252873563218,3.0,v1.0
12329,Geelong Cats,3,1983-04-09,1983,H,Richmond Tigers,2.3 3.9 7.11 13.16,94,3.3 3.4 5.6 6.10,46,W,48,GMHBA Stadium,21269.0,13,16,6,10,1.0,48,1.0,103.5,85.5,1.0,103.5,85.5,1.0,103.5,85.5,2,7.0,Geelong Cats|Richmond Tigers,Geelong Cats,1.0,48,,,4,8,207,171,121.05263157894737,1.0,v1.0
12722,Hawthorn Hawks,3,1983-04-09,1983,A,St Kilda Saints,4.3 12.6 17.10 26.15,171,3.1 4.4 6.4 6.6,42,W,129,Moorabbin Oval,19227.0,26,15,6,6,1.0,129,1.0,100.5,78.5,1.0,100.5,78.5,1.0,100.5,78.5,2,5.0,Hawthorn Hawks|St Kilda Saints,Hawthorn Hawks,1.0,129,,,4,8,201,157,128.02547770700636,1.0,v1.0
13516,Melbourne Demons,3,1983-04-09,1983,A,Western Bulldogs,2.3 4.7 8.9 11.13,79,8.5 9.7 10.11 16.15,111,L,-32,Western Oval,20485.0,11,13,16,15,0.0,-32,0.5,122.0,117.5,0.5,122.0,117.5,0.5,122.0,117.5,1,7.0,Melbourne Demons|Western Bulldogs,Melbourne Demons,0.0,-32,,,0,4,244,235,103.82978723404256,3.0,v1.0
13974,Richmond Tigers,3,1983-04-09,1983,A,Geelong Cats,3.3 3.4 5.6 6.10,46,2.3 3.9 7.11 13.16,94,L,-48,GMHBA Stadium,21269.0,6,10,13,16,0.0,-48,0.0,88.0,127.5,0.0,88.0,127.5,0.0,88.0,127.5,0,7.0,Geelong Cats|Richmond Tigers,Geelong Cats,0.0,48,1.0,48.0,0,0,176,255,69.01960784313725,9.0,v1.0
14349,St Kilda Saints,3,1983-04-09,1983,H,Hawthorn Hawks,3.1 4.4 6.4 6.6,42,4.3 12.6 17.10 26.15,171,L,-129,Moorabbin Oval,19227.0,6,6,26,15,0.0,-129,0.0,78.5,115.5,0.0,78.5,115.5,0.0,78.5,115.5,0,5.0,Hawthorn Hawks|St Kilda Saints,Hawthorn Hawks,0.0,129,1.0,129.0,0,0,157,231,67.96536796536796,9.0,v1.0
15422,W. Bulldogs,3,1983-04-09,1983,H,Melbourne Demons,8.5 9.7 10.11 16.15,111,2.3 4.7 8.9 11.13,79,W,32,Western Oval,20485.0,16,15,11,13,1.0,32,0.5,87.0,94.0,0.5,87.0,94.0,0.5,87.0,94.0,1,7.0,Melbourne Demons|W. Bulldogs,Melbourne Demons,1.0,-32,,,4,4,174,188,92.55319148936171,3.0,v1.0
13122,North Melbourne Kangaroos,3,1983-04-10,1983,A,sydney swans,5.7 12.12 20.18 27.23,185,2.4 4.8 5.10 5.15,45,W,140,Sydney Cricket Ground,11831.0,27,23,5,15,1.0,140,0.5,71.5,87.5,0.5,71.5,87.5,0.5,71.5,87.5,0,6.0,North Melbourne Kangaroos|sydney swans,North Melbourne Kangaroos,1.0,140,,,4,4,143,175,81.71428571428571,1.0,v1.0
14729,Sydney Swans,3,1983-04-10,1983,H,north melbourne kangaroos,2.4 4.8 5.10 5.15,45,5.7 12.12 20.18 27.23,185,L,-140,Sydney Cricket Ground,11831.0,5,15,27,23,0.0,-140,0.5,78.0,90.0,0.5,78.0,90.0,0.5,78.0,90.0,0,6.0,Sydney Swans|north melbourne kangaroos,Sydney Swans,0.0,-140,,,0,4,156,180,86.66666666666667,1.0,v1.0
